event_id,symbol,event_date,window_days,entry_date,exit_date,entry_price,exit_price,gross_return,cost_return,net_return,weighted_net_return,outcome_status,provider_query_performed,market_data_download_performed,short_selling_allowed
HYB-PDUFA-001,SUPN,2025-02-01,30,2024-12-16,2025-01-31,36.20000076293945,38.369998931884766,0.05994469953621917,0.05,0.009944699536219168,0.003314899845406389,unknown,False,False,False
HYB-PDUFA-001,SUPN,2025-02-01,60,2024-11-01,2025-01-31,34.220001220703125,38.369998931884766,0.12127403749684529,0.05,0.07127403749684529,0.02375801249894843,unknown,False,False,False
HYB-PDUFA-001,SUPN,2025-02-01,90,2024-09-20,2025-01-31,31.940000534057617,38.369998931884766,0.20131491203235408,0.05,0.1513149120323541,0.050438304010784696,unknown,False,False,False
HYB-PDUFA-002,KALV,2025-06-17,30,2025-05-02,2025-06-16,13.65999984741211,13.039999961853027,-0.04538798627267493,0.05,-0.09538798627267493,-0.031795995424224975,delayed,False,False,False
HYB-PDUFA-002,KALV,2025-06-17,60,2025-03-20,2025-06-16,12.010000228881836,13.039999961853027,0.08576184124411856,0.05,0.03576184124411856,0.011920613748039521,delayed,False,False,False
HYB-PDUFA-002,KALV,2025-06-17,90,2025-02-05,2025-06-16,9.699999809265137,13.039999961853027,0.34432991940861957,0.05,0.2943299194086196,0.09810997313620652,delayed,False,False,False
HYB-PDUFA-003,FBIO,2025-06-30,30,2025-05-14,2025-06-27,1.7599999904632568,1.8200000524520874,0.034090944496560915,0.05,-0.015909055503439087,-0.005303018501146363,CRL,False,False,False
HYB-PDUFA-003,FBIO,2025-06-30,60,2025-04-01,2025-06-27,1.600000023841858,1.8200000524520874,0.1375000158324835,0.05,0.0875000158324835,0.029166671944161168,CRL,False,False,False
HYB-PDUFA-003,FBIO,2025-06-30,90,2025-02-18,2025-06-27,1.7200000286102295,1.8200000524520874,0.05813954777818142,0.05,0.008139547778181419,0.0027131825927271397,CRL,False,False,False
HYB-PDUFA-004,REPL,2025-07-22,30,2025-06-05,2025-07-21,9.630000114440918,12.324999809265137,0.27985458596027035,0.05,0.22985458596027036,0.07661819532009012,CRL,False,False,False
HYB-PDUFA-004,REPL,2025-07-22,60,2025-04-23,2025-07-21,8.960000038146973,12.324999809265137,0.37555800857050925,0.05,0.32555800857050926,0.10851933619016975,CRL,False,False,False
HYB-PDUFA-004,REPL,2025-07-22,90,2025-03-11,2025-07-21,11.199999809265137,12.324999809265137,0.10044643028202116,0.05,0.05044643028202116,0.016815476760673718,CRL,False,False,False
HYB-PDUFA-005,TNXP,2025-08-15,30,2025-07-02,2025-08-14,37.40999984741211,59.58000183105469,0.5926223489459923,0.05,0.5426223489459923,0.18087411631533076,unknown,False,False,False
HYB-PDUFA-005,TNXP,2025-08-15,60,2025-05-19,2025-08-14,27.450000762939453,59.58000183105469,1.1704918096575905,0.05,1.1204918096575904,0.37349726988586346,unknown,False,False,False
HYB-PDUFA-005,TNXP,2025-08-15,90,2025-04-04,2025-08-14,17.149999618530273,59.58000183105469,2.4740526621749623,0.05,2.4240526621749625,0.8080175540583209,unknown,False,False,False
HYB-PDUFA-006,CAPR,2025-08-31,30,2025-07-18,2025-08-29,7.150000095367432,6.28000020980835,-0.1216783040496412,0.05,-0.17167830404964118,-0.0572261013498804,CRL,False,False,False
HYB-PDUFA-006,CAPR,2025-08-31,60,2025-06-04,2025-08-29,11.260000228881836,6.28000020980835,-0.4422735273397078,0.05,-0.4922735273397078,-0.1640911757799026,CRL,False,False,False
HYB-PDUFA-006,CAPR,2025-08-31,90,2025-04-22,2025-08-29,12.119999885559082,6.28000020980835,-0.4818481626150065,0.05,-0.5318481626150066,-0.17728272087166885,CRL,False,False,False
HYB-PDUFA-007,AGIO,2025-09-07,30,2025-07-24,2025-09-05,40.529998779296875,36.0099983215332,-0.11152234379223647,0.05,-0.16152234379223646,-0.05384078126407882,delayed,False,False,False
HYB-PDUFA-007,AGIO,2025-09-07,60,2025-06-10,2025-09-05,33.34000015258789,36.0099983215332,0.08008392791618091,0.05,0.030083927916180905,0.010027975972060302,delayed,False,False,False
HYB-PDUFA-007,AGIO,2025-09-07,90,2025-04-28,2025-09-05,29.75,36.0099983215332,0.21042011164817498,0.05,0.160420111648175,0.05347337054939166,delayed,False,False,False
HYB-PDUFA-008,GKOS,2025-10-20,30,2025-09-05,2025-10-17,93.0,87.16999816894531,-0.06268819173177087,0.05,-0.11268819173177087,-0.03756273057725696,unknown,False,False,False
HYB-PDUFA-008,GKOS,2025-10-20,60,2025-07-24,2025-10-17,96.16999816894531,87.16999816894531,-0.09358427962314586,0.05,-0.14358427962314585,-0.047861426541048614,unknown,False,False,False
HYB-PDUFA-008,GKOS,2025-10-20,90,2025-06-10,2025-10-17,94.66999816894531,87.16999816894531,-0.07922256411810336,0.05,-0.12922256411810334,-0.04307418803936778,unknown,False,False,False
HYB-PDUFA-009,SNDX,2025-10-25,30,2025-09-12,2025-10-24,16.420000076293945,13.529999732971191,-0.17600489219821236,0.05,-0.22600489219821235,-0.07533496406607078,unknown,False,False,False
HYB-PDUFA-009,SNDX,2025-10-25,60,2025-07-31,2025-10-24,9.770000457763672,13.529999732971191,0.38485149427190235,0.05,0.33485149427190236,0.11161716475730078,unknown,False,False,False
HYB-PDUFA-009,SNDX,2025-10-25,90,2025-06-17,2025-10-24,9.9399995803833,13.529999732971191,0.3611670326096186,0.05,0.3111670326096186,0.1037223442032062,unknown,False,False,False
HYB-PDUFA-010,MIST,2025-12-13,30,2025-10-30,2025-12-12,1.8300000429153442,2.4100000858306885,0.3169399067288301,0.05,0.2669399067288301,0.08897996890961003,unknown,False,False,False
HYB-PDUFA-010,MIST,2025-12-13,60,2025-09-18,2025-12-12,1.9700000286102295,2.4100000858306885,0.22335027960931786,0.05,0.17335027960931787,0.05778342653643929,unknown,False,False,False
HYB-PDUFA-010,MIST,2025-12-13,90,2025-08-06,2025-12-12,1.5299999713897705,2.4100000858306885,0.5751634842460636,0.05,0.5251634842460635,0.17505449474868784,unknown,False,False,False
HYB-PDUFA-011,DNLI,2026-01-05,30,2025-11-18,2026-01-02,17.25,16.270000457763672,-0.05681156766587414,0.05,-0.10681156766587414,-0.03560385588862471,unknown,False,False,False
HYB-PDUFA-011,DNLI,2026-01-05,60,2025-10-07,2026-01-02,15.354999542236328,16.270000457763672,0.05958977159266543,0.05,0.009589771592665428,0.003196590530888476,unknown,False,False,False
HYB-PDUFA-011,DNLI,2026-01-05,90,2025-08-25,2026-01-02,15.460000038146973,16.270000457763672,0.052393299975294516,0.05,0.0023932999752945133,0.0007977666584315044,unknown,False,False,False
HYB-PDUFA-012,AQST,2026-01-31,30,2025-12-16,2026-01-30,5.900000095367432,2.950000047683716,-0.5,0.05,-0.55,-0.18333333333333335,unknown,False,False,False
HYB-PDUFA-012,AQST,2026-01-31,60,2025-11-03,2026-01-30,6.78000020980835,2.950000047683716,-0.5648967615935954,0.05,-0.6148967615935954,-0.20496558719786515,unknown,False,False,False
HYB-PDUFA-012,AQST,2026-01-31,90,2025-09-22,2026-01-30,5.710000038146973,2.950000047683716,-0.48336251699202104,0.05,-0.5333625169920211,-0.17778750566400703,unknown,False,False,False
