fold,period,target_exit_config,feature_set,model_type,probability_variant,signal_quality_config,signal_rank_column,market_exposure_config,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals_before_rank,rank_filtered_signals,total_signals,executable_signals,avg_risk_fraction_on_signals,strong_market_signals,symbols_with_signals,closed_trades
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,default_1pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,True,-0.011811555090836364,-0.44250347900204706,0.4306919239112107,-0.02889841520602754,-0.6117400998950475,0.6322409838635634,0.32689594356261026,True,138,0,138,130,0.009999999999999998,87,10,42
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,default_1pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.010642801102463623,-0.44250347900204706,0.4318606778995834,-0.017133376524378695,-0.9594164999286037,0.14036166126932106,0.1875,True,43,0,43,38,0.010000000000000002,26,9,15
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,default_1pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.005138573359835529,-0.44250347900204706,0.4373649056422114,-0.0063876061475842015,-0.9825853078047493,0.0,0.2,True,12,0,12,11,0.009999999999999998,10,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,default_1pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204706,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,0,3,2,0.01,2,2,2
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,default_1pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,default_1pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,fixed_1_5pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.01778334014571726,-0.44250347900204706,0.42472013885632975,-0.043337659207275794,-0.6197379021322633,0.6322409838635634,0.32689594356261026,True,138,0,138,130,0.015,87,10,42
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,fixed_1_5pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.016009410195692863,-0.44250347900204706,0.42649406880635415,-0.02569342175903566,-0.9695993803851295,0.14036166126932106,0.1875,True,43,0,43,38,0.015000000000000001,26,9,15
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,fixed_1_5pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.007733801647984058,-0.44250347900204706,0.4347696773540629,-0.009604710190338605,-0.9870581069654207,0.0,0.2,True,12,0,12,11,0.015000000000000005,10,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,no_quality_rank_filter,,fixed_1_5pct,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.00308925796209494,-0.44250347900204706,0.43941422103995204,-0.0033419253381121172,-1.214001296124415,0.0,0.0,True,3,0,3,2,0.015,2,2,2
